gene	Endothelial_hemogenic	Endothelial_Nonhemogenic_nodox	Progenitor_hematopoietic_nodox	Endothelial_hemogenic_dox	Endothelial_hemogenic_nodox	Endothelial_hemogenic	Endothelial_Nonhemogenic_nodox	Progenitor_hematopoietic_nodox	Endothelial_hemogenic_dox	Endothelial_hemogenic_nodox
ENSG00000101473	12.94	26.83	25.98	21.63	10.8	19.29	36.51	18.93	13.84	16.95
ENSG00000123130	68.13	80.38	54.41	61.9	96.19	63.39	115.23	49.23	49.16	97.82
ENSG00000161533	10.34	11.73	9.07	20.55	18.01	12.2	8.77	12.01	16.65	17.33
ENSG00000168306	0.0	0.0	0.69	0.58	1.89	0.0	0.15	0.0	0.58	0.29
ENSG00000087008	9.43	11.8	13.48	13.05	4.91	20.96	11.13	7.96	8.26	10.44
ENSG00000153093	0.0	0.61	0.0	0.28	0.0	0.53	0.0	0.19	0.0	0.0
ENSG00000143727	98.27	87.3	103.63	105.24	76.92	120.07	114.82	108.1	103.02	83.94
ENSG00000134575	24.37	27.42	39.88	16.71	20.99	30.64	30.43	16.94	23.3	22.21
ENSG00000102575	1.42	22.27	1.14	2.3	2.5	0.0	15.65	0.88	5.2	1.84
ENSG00000162836	0.56	6.86	8.62	4.84	4.05	1.58	4.57	4.52	5.71	1.12
ENSG00000155893	2.25	2.08	3.84	0.0	4.71	6.88	4.01	1.19	1.11	1.55
ENSG00000014257	0.49	2.96	11.98	0.37	0.0	2.98	0.34	0.5	0.54	0.41
ENSG00000142513	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ENSG00000100312	0.0	1.97	1.3	0.0	0.0	0.0	0.79	0.67	0.0	0.0
ENSG00000111644	0.79	3.99	1.22	2.85	0.0	1.51	4.19	2.88	1.66	0.71
ENSG00000147174	1.2	4.38	1.37	3.76	0.68	1.38	5.47	1.27	2.09	2.09
ENSG00000134940	1.36	0.0	0.0	0.0	0.0	0.0	0.77	0.46	0.0	0.0
ENSG00000103740	0.0	0.0	0.0	0.0	0.0	0.11	0.0	0.45	0.0	0.0
ENSG00000130377	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ENSG00000167107	2.78	18.47	6.84	2.39	2.92	5.36	25.85	12.7	9.17	4.18
