gene	Fibroblast	Fibroblast	Fibroblast	Fibroblast	Fibroblast	Fibroblast	Fibroblast	Fibroblast	Fibroblast	Fibroblast	Fibroblast	Fibroblast	Fibroblast	Fibroblast	Fibroblast	Fibroblast	Fibroblast	Fibroblast	Fibroblast	Fibroblast	Fibroblast	Fibroblast	Fibroblast	Fibroblast	Fibroblast
ENSG00000005075	27.25365	11.8467	20.23152	18.3503	16.1308	51.9904	24.38389	29.9765	27.0145	39.82246	23.0184	34.36426	52.16596	43.2308	25.2519	39.47313	48.9609	23.0317	39.16694	50.0447	47.0982	91.53027	26.1261	39.10586	28.931
ENSG00000005100	0.676003	1.248086	2.562	1.78939	2.04709	1.76554	0.738046	1.405415	2.81222	2.438463	0.309424	5.86753	1.74751	1.42879	0.835066	2.450356	1.35716	1.219105	2.28506	0.453146	1.76094	1.75251	2.78736	2.49531	4.39628
ENSG00000005102	2.29279	3.088089	4.00954	1.302884	0	7.713535	0	2.10701	16.95048	18.67751	2.217639	2.38876	13.00779	4.18269	2.75927	10.79797	17.4485	4.213509322	23.42807	9.11366	7.25512	9.75809	5.20448	0	8.33769
ENSG00000005108	0.0494874276	0.3133080889	0.2306597672	0.2231012784	10.4571818126	1.87285355979	0.845867684	0.038673088	0.7673528863	0	0	0.1032260606	1.621900535	0.5323422075	0.0444066166	0	0.3793412539	3.2035199221	0.224465394	0.695246703	0.1352732308	0.0739071611	0.08511553272	0	0.429902262
ENSG00000005156	16.697198	7.736295	14.732816	6.067458	19.306222	17.181138	9.01374662	7.368616	23.22462	12.150471	5.4704011	7.24781	14.416078	10.828063	5.787248	9.059804	25.278655	13.971064	8.6515524	13.5528480144717	25.9989514567	14.204803	13.8278602	6.639194	15.57459
ENSG00000005175	18.04764	7.77601	7.99955	22.816362	31.88836	6.89678	32.509852	45.003566	18.80935	9.132644	32.369049	27.69092	28.027465	29.07928	25.73959	12.643195	23.94367	17.129923	28.2302	40.57829	27.29493	18.62669	55.01126	23.40053	13.3192
ENSG00000005187	2.773445	14.35824	4.650541	4.440863	6.215085	0.10805	7.0042837	6.089735	10.34963	10.099331	3.670426	10.261847	1.46413	1.630133	6.156615	9.98386	0.321545	11.236878	3.651290145527	14.28722	0.640818	8.581971	4.313239	4.09156	2.1249759
ENSG00000005189	1.09224	0.961821	5.315997	0	0	0.719235	0.158349	12.669547	3.32905	1.97196	7.33317	0	0.888494	2.492627	5.257551	9.2624239937	5.5970675047	4.078412214	1.997189	0.33185	2.202094	11.934853	4.03735	13.651719	7.331196
ENSG00000005194	27.959025	39.65288243	43.509375	14.95612	41.4624490071698	27.42062	32.59733	49.14098013321	52.3379043	33.1756	34.11096	43.866215	69.08926	17.84312	23.629528046	33.79618	13.94078	14.32059	40.62503	27.613565	42.21077	37.417427315	44.901458	18.4389837	11.612506
ENSG00000005206	15.43708	13.88557	16.12534	8.4728897	0.533032	5.97938	7.077694	31.028527	29.76028	12.90311	13.718533	16.565735	26.992761	41.549103	11.989291	16.026246	18.68206	26.783652	17.950787	15.020376289871	21.263339	21.07713	25.87259	7.215227	27.874183
ENSG00000005238	10.2090688621	6.510024271	4.859251	10.212583	13.924001	4.01544	6.4543449658	6.12681160506213	5.5653870667	15.7054441439	12.367367649	4.51005	7.883929	4.6153788664	4.4923024213	2.68140677128	13.7862646869	4.68085	4.05674974531	5.76402	13.3024547707	4.38473	10.30276	15.9881772417	7.2380694689
ENSG00000005243	37.043581118014	23.62428	27.45596	25.54836	13.2452	23.87865	21.90156	21.84755	32.21173	71.17525	43.24423	55.90396	28.46231	29.72288	47.67458	50.79557	45.20809	18.61465	37.954277	18.75700933	15.02306	50.61769	25.35843	29.85329	63.93941
ENSG00000005249	0.577384	0.505914	2.04718	0	0	0.188959	0.0990096	0	0	0.771027	1.16792	2.78432	0.115311	1.69165	0	0.175432	0.703075	0	1.23403	1.19347	0.394185	0	0.252863	0.487629	0
ENSG00000005302	13.885351853	15.4098968	15.09594	14.749534	10.999563635	13.94162	25.974398888	11.438501	30.50349214	23.3818900079174	22.5515487435508	12.862019	31.406593480018	23.70012	13.35824	28.04960178706	21.02289	11.538486206263	10.0518444	17.0891131252	41.379004	36.8873402049029	12.37273724	21.13072915726	31.8519418832214
ENSG00000005339	12.596869	44.448048	19.768457	51.153895897359	32.70766	20.865336	103.133195	22.3768541	23.421361819051	39.81206	16.093807	34.38479	39.597939	26.15651	31.041073	14.46592	11.798568	30.312027	24.32627	25.417705	25.93890935	8.070887	17.48065	31.053561	61.079566
ENSG00000005379	3.255367	31.95404307	4.486199	3.6606954	2.5673859	2.286895	7.579235	2.138581	0.141753	9.979648	8.197652	16.467847	0.949126	3.8438944	7.176313	1.099944	11.012757	3.992543	3.385712271791	4.839789	6.06136	0.589152	2.9126444	0.149085	41.415398
ENSG00000005381	0	0	0	0	0	0	0	3.719293	0	0	0	0.118495	1.918846	0	0	0	0	0	4.068162	7.102973	0	0	0	0	0
ENSG00000005436	3.37887	5.972866	0.759827	6.42582	6.853294	4.658467	11.7402504	2.270372	8.66351	7.5219567	5.1131704	2.23193	7.437227	5.420983	4.0283788	5.3944157	3.032575	14.823667871655	6.007638	14.62439	0.605511	10.534671	0.153502	6.480083	27.148624
ENSG00000005448	22.616200436	17.2010483	27.60318	10.48166	21.1979	18.83094	4.978937	31.04991	37.387718	41.25637	22.57982131276	13.3077	26.15568	11.48193	25.66223	40.7223511443	40.24325	26.01943	48.21257	33.13996416	109.43446	38.18966	65.79626	91.14519	32.7408829
ENSG00000005469	25.719763	17.32881	15.10197	10.207827	15.87003	7.845693	7.91643	9.190322	5.667302	12.50112	14.6203600148091	26.7492	11.86957	11.47201	16.57199	11.83043	5.83644	19.720135	7.32114	14.05104	8.56977	14.636593	10.247418	8.686109	16.14233
ENSG00000005471	0.983011	0	0	0.129172	0	0	0	0.470673	1.194014	0.638858	0.222113	19.74815	2.552448	0.799443	0	0.685727	6.020531	0	8.119857	4.64509	0.535092	5.19434	1.35887	0	0
ENSG00000005483	83.247170297762	68.4124944	63.137170002631	54.18995	38.96942514	66.73018623234	87.9244290011772	92.3852	100.5974408	103.3878848	78.03579	144.065368	102.772716	111.947990038476	89.9502274	77.01336	110.5121875	99.2117496	116.684218232033	133.53467	185.39507	126.01982	109.809457961	72.816799	227.168147069899
ENSG00000005486	41.444641	57.16136	22.0030539913	46.855964218802	31.76400246272	38.3978000084785	26.42923	59.0363	45.62254438456	56.36941	59.10687	32.3188	58.08996	50.23103	54.7935	51.05328115726	59.18803375123	54.0009	64.877552265263	33.8903	54.11650515792	37.4488800085266	60.23049131373	88.0756781	52.5982125
