Ensembl ID(supplied by Ensembl)	Ensembl gene ID	Approved symbol	Previous symbols	Synonyms
ENSG00000115073	ENSG00000115073	ACTR1B	CTRN2	Arp1B
ENSG00000138071	ENSG00000138071	ACTR2		ARP2
ENSG00000115091	ENSG00000115091	ACTR3		ARP3
		ACTR3-AS1		AC104653.1
ENSG00000133627	ENSG00000133627	ACTR3B		ARP11, ARP3beta
ENSG00000270242	ENSG00000270242	ACTR3BP1		
ENSG00000226481	ENSG00000226481	ACTR3BP2		FKSG73
ENSG00000260327	ENSG00000260327	ACTR3BP3		
ENSG00000249283	ENSG00000249283	ACTR3BP4		
ENSG00000227264	ENSG00000227264	ACTR3BP5		
ENSG00000226444	ENSG00000226444	ACTR3BP6		
ENSG00000106526	ENSG00000106526	ACTR3C		ARP11
		ACTR3P1		
ENSG00000232267	ENSG00000232267	ACTR3P2		
ENSG00000242573	ENSG00000242573	ACTR3P3		
ENSG00000101442	ENSG00000101442	ACTR5		FLJ12785, Arp5, INO80M
ENSG00000075089	ENSG00000075089	ACTR6		ARP6, FLJ13433
ENSG00000248915	ENSG00000248915	ACTR6P1		
ENSG00000113812	ENSG00000113812	ACTR8		INO80N, ARP8
ENSG00000131966	ENSG00000131966	ACTR10		HARP11, ACTR11, Arp11, Arp10
ENSG00000123165	ENSG00000123165	ACTRT1		AIP1, KIAA0705, ARIP1, Arp-T1
ENSG00000169717	ENSG00000169717	ACTRT2		Arp-T2, ARPM2, FLJ25424
ENSG00000184378	ENSG00000184378	ACTRT3		ARPM1
ENSG00000115170	ENSG00000115170	ACVR1	ACVRLK2	SKR1, ALK2, ACVR1A
ENSG00000135503	ENSG00000135503	ACVR1B	ACVRLK4	ALK4, SKR2, ActRIB
ENSG00000123612	ENSG00000123612	ACVR1C		ALK7, ACVRLK7
ENSG00000121989	ENSG00000121989	ACVR2A	ACVR2	ACTRII
ENSG00000114739	ENSG00000114739	ACVR2B		ActR-IIB
ENSG00000229589	ENSG00000229589	ACVR2B-AS1		
ENSG00000139567	ENSG00000139567	ACVRL1	ACVRLK1, ORW2	HHT2, ALK1, HHT
		ACVRLK2		
ENSG00000243989	ENSG00000243989	ACY1		
		ACY1L	ACY1L	AN
ENSG00000132744	ENSG00000132744	ACY3		HCBP1, MGC9740, ACY-3
ENSG00000119640	ENSG00000119640	ACYP1		
ENSG00000170634	ENSG00000170634	ACYP2		
		AD1		
		AD2	AD2	
		AD3		
		AD4		
		AD5		
ENSG00000196839	ENSG00000196839	ADA		
